group_desc	supergroup1	series_code	group_code	primary_option_code	series_desc	option_desc	currency	price	part_code	id	part_desc	optional	obsolete	cost	compacted_part_desc	obsolete1	compulsory	BAM	BHZ	BLT	BRK	BST	BVT	CLA	CHT	CHR	CPH	ELT	EMK	FCL	FTN	FTP	HYD	LEV	LTY	MHT	MLT	STG	VWY	TRD	WBS	PED	MOD	APP	AQU	no_attr
COLD STORE	OTHER	A860	130	A860130001	MC10,12,15	STANDARD APPLICATION	EUR	0	A8601087100140	A860130001A8601087100140	Ass.Timone  Cw (U. A Terra)  Ya	C1	N	306.00999999999999	 AssTimoneCw(UATerra)Ya	N	N																									Pedestrian		Standard Application		
COLD STORE	OTHER	A860	130	A860130001	MC10,12,15	STANDARD APPLICATION	EUR	0	A8601087100160	A860130001A8601087100160	Ass.Timone  Cw (U. A Bordo)  Ya	C1	N	272.60000000000002	 AssTimoneCw(UABordo)Ya	N	N																									Ride On		Standard Application		
BATTERY COMPARTMENT	HYDRAULICS	A908	200	A908200001	ERC20-32AGF / ERCGH	STANDARD TREAD 700MM BATTERY COMP	EUR	0	A908524185889	A908200001A908524185889	Capacity Erc20 700Mm Batt Comp	C1	N	1686.4202379999999	 CapacityErc20700MmBattComp	N	N																													
BATTERY COMPARTMENT	HYDRAULICS	A908	200	A908200001	ERC20-32AGF / ERCGH	STANDARD TREAD 700MM BATTERY COMP	EUR	0	A908524185889	A908200001A908524185889	Capacity Erc20 700Mm Batt Comp	C1	N	1686.4202379999999	 CapacityErc20700MmBattComp	N	N																													
BATTERY COMPARTMENT	HYDRAULICS	A908	200	A908200001	ERC20-32AGF / ERCGH	STANDARD TREAD 700MM BATTERY COMP	EUR	0	A908524185889	A908200001A908524185889	Capacity Erc20 700Mm Batt Comp	C1	N	1686.4202379999999	 CapacityErc20700MmBattComp	N	N																							Std Tread						
BATTERY COMPARTMENT	HYDRAULICS	A908	200	A908200001	ERC20-32AGF / ERCGH	STANDARD TREAD 700MM BATTERY COMP	EUR	0	A908524185889	A908200001A908524185889	Capacity Erc20 700Mm Batt Comp	C1	N	1686.4202379999999	 CapacityErc20700MmBattComp	N	N																										20	Standard Application		
BATTERY COMPARTMENT	HYDRAULICS	A908	200	A908200001	ERC20-32AGF / ERCGH	STANDARD TREAD 700MM BATTERY COMP	EUR	0	A908524218400	A908200001A908524218400	Capacity Erc25 700Mm Batt Comp	C1	N	1913.4638460000001	 CapacityErc25700MmBattComp	N	N																													
BATTERY COMPARTMENT	HYDRAULICS	A908	200	A908200001	ERC20-32AGF / ERCGH	STANDARD TREAD 700MM BATTERY COMP	EUR	0	A908524218400	A908200001A908524218400	Capacity Erc25 700Mm Batt Comp	C1	N	1913.4638460000001	 CapacityErc25700MmBattComp	N	N																													
BATTERY COMPARTMENT	HYDRAULICS	A908	200	A908200001	ERC20-32AGF / ERCGH	STANDARD TREAD 700MM BATTERY COMP	EUR	0	A908524218400	A908200001A908524218400	Capacity Erc25 700Mm Batt Comp	C1	N	1913.4638460000001	 CapacityErc25700MmBattComp	N	N																							Std Tread						
BATTERY COMPARTMENT	HYDRAULICS	A908	200	A908200001	ERC20-32AGF / ERCGH	STANDARD TREAD 700MM BATTERY COMP	EUR	0	A908524218400	A908200001A908524218400	Capacity Erc25 700Mm Batt Comp	C1	N	1913.4638460000001	 CapacityErc25700MmBattComp	N	N																										25	Standard Application		
BATTERY COMPARTMENT	HYDRAULICS	A908	200	A908200002	ERC20-32AGF / ERCGH	WIDE TREAD 700MM BATTERY COMP	EUR	0	A908524185889	A908200002A908524185889	Capacity Erc20 700Mm Batt Comp	C1	N	1686.4202379999999	 CapacityErc20700MmBattComp	N	N																													
BATTERY COMPARTMENT	HYDRAULICS	A908	200	A908200002	ERC20-32AGF / ERCGH	WIDE TREAD 700MM BATTERY COMP	EUR	0	A908524185889	A908200002A908524185889	Capacity Erc20 700Mm Batt Comp	C1	N	1686.4202379999999	 CapacityErc20700MmBattComp	N	N																													
BATTERY COMPARTMENT	HYDRAULICS	A908	200	A908200002	ERC20-32AGF / ERCGH	WIDE TREAD 700MM BATTERY COMP	EUR	0	A908524185889	A908200002A908524185889	Capacity Erc20 700Mm Batt Comp	C1	N	1686.4202379999999	 CapacityErc20700MmBattComp	N	N																							Wide Tread						
BATTERY COMPARTMENT	HYDRAULICS	A908	200	A908200002	ERC20-32AGF / ERCGH	WIDE TREAD 700MM BATTERY COMP	EUR	0	A908524185889	A908200002A908524185889	Capacity Erc20 700Mm Batt Comp	C1	N	1686.4202379999999	 CapacityErc20700MmBattComp	N	N																										20	Standard Application		
BATTERY COMPARTMENT	HYDRAULICS	A908	200	A908200002	ERC20-32AGF / ERCGH	WIDE TREAD 700MM BATTERY COMP	EUR	0	A908524218400	A908200002A908524218400	Capacity Erc25 700Mm Batt Comp	C1	N	1913.4638460000001	 CapacityErc25700MmBattComp	N	N																													
