group_desc	supergroup1	series_code	group_code	primary_option_code	secondary_option_code	id	series_desc	option_desc	currency	price	standard_option_desc	compacted_option_desc	obsolete	compulsory	BAM	BHZ	BLT	BRK	BST	BVT	CHR	CHT	CLA	CPH	ELT	EMK	FCL	FTN	FTP	HYD	LEV	LTY	MHT	MLT	STG	VWY	AQU	BCH
MODEL	MODEL	A844	000	A844000001		A844000001          	MP20I	MODEL : MP20I	EUR	0	MP20I	 MODEL:MP20I																										
WHEEL/TYRE ASSY	WHEELS	A844	300	A844300001		A844300001          	MP20I	POLYURETHANE DRIVE TYRES	EUR	0	POLYURETHANE DRIVE TYRES	 POLYURETHANEDRIVETYRES																										
FORKS	MAST	A844	600	A844600001		A844600001          	MP20I	FORKS 530 X 1160	EUR	0	FORKS 530 X 1160	 FORKS530X1160	N	N																								
FORKS	MAST	A844	600	A844600002		A844600002          	MP20I	FORKS 650 X 1350	EUR	0	FORKS 650 X 1350	 FORKS650X1350	N	N																								
BATTERY	BATTERY	A844	760	A844760001		A844760001          	MP20I	BATTERY 24V 200AMP *FIAMM*	EUR	0	BATTERY 24V 200AMP *FIAMM*	 BATTERY24V200AMP*FIAMM*	N	N	200 Ah					24 Volts																		
BATTERY	BATTERY	A844	760	A844760099		A844760099          	MP20I	LESS BATTERY	EUR	0	LESS BATTERY	 LESSBATTERY	N	N																								
CHARGER	BATTERY	A844	780	A844780001		A844780001          	MP20I	CHARGER 24V 40AH *C.S.*	EUR	0	CHARGER 24V 40AH *C.S.*	 CHARGER24V40AH*CS*	N	N	40 Ah					24 Volts																		
CHARGER	BATTERY	A844	780	A844780099		A844780099          	MP20I	LESS CHARGER	EUR	0	LESS CHARGER	 LESSCHARGER	N	N																								
WARRANTY	INSPECTION/DOCS	A844	865	A844865000		A844865000          	MP20I	WARRANTY : AFFILIATE TERMS APPLY	EUR	0	WARRANTY : AFFILIATE TERMS APPLY	 WARRANTY:AFFILIATETERMSAPPLY																										
WARRANTY	INSPECTION/DOCS	A844	865	A844865001		A844865001          	MP20I	WARRANTY : STANDARD 12 MONTHS/1000 HOURS	EUR	0	WARRANTY : STANDARD 12 MONTHS/1000 HOURS	 WARRANTY:STANDARD12MONTHS/1000HOURS																										
MODEL	MODEL	A860	000	A860000001		A860000001          	MC10,12,15	MODEL : MC10	EUR	10300	MC10	 MODEL:MC10																										
MODEL	MODEL	A860	000	A860000002		A860000002          	MC10,12,15	MODEL : MC12	EUR	11025	MC12	 MODEL:MC12																										
MODEL	MODEL	A860	000	A860000003		A860000003          	MC10,12,15	MODEL : MC15	EUR	12395	MC15	 MODEL:MC15																										
PEDESTRIAN OR RIDE ON	DRIVE	A860	125	A860125001		A860125001          	MC10,12,15	PEDESTRIAN	EUR	0	PEDESTRIAN	 PEDESTRIAN																										
PEDESTRIAN OR RIDE ON	DRIVE	A860	125	A860125002		A860125002          	MC10,12,15	RIDE ON - OVERHEAD GUARD/FLASHING BEACON	EUR	1190	RIDE ON - OVERHEAD GUARD/FLASHING BEACON	 RIDEONOVERHEADGUARD/FLASHINGBEACON																										
PEDESTRIAN OR RIDE ON	DRIVE	A860	125	A860125003		A860125003          	MC10,12,15	PEDESTRIAN FOR SIDESHIFT	EUR	0	PEDESTRIAN FOR SIDESHIFT	 PEDESTRIANFORSIDESHIFT																										
PEDESTRIAN OR RIDE ON	DRIVE	A860	125	A860125004		A860125004          	MC10,12,15	RIDE ON FOR SIDESHIFT-OH GUARD/F.BEACON	EUR	1190	RIDE ON FOR SIDESHIFT-OH GUARD/F.BEACON	 RIDEONFORSIDESHIFTOHGUARD/FBEACON																										
COLD STORE	OTHER	A860	130	A860130001		A860130001          	MC10,12,15	STANDARD APPLICATION	EUR	0	STANDARD APPLICATION	 STANDARDAPPLICATION																										
COLD STORE	OTHER	A860	130	A860130002		A860130002          	MC10,12,15	COLD STORE TO MINUS 30 DEGREE C	EUR	1110	COLD STORE TO MINUS 30 DEGREE C	 COLDSTORETOMINUS30DEGREEC																										
DRIVE WHEEL & TYRES	WHEELS	A860	320	A860320001		A860320001          	MC10,12,15	POLYURETHANE DRIVE TYRES	EUR	0	POLYURETHANE DRIVE TYRES	 POLYURETHANEDRIVETYRES																										
DRIVE WHEEL & TYRES	WHEELS	A860	320	A860320002		A860320002          	MC10,12,15	NON MARKING DRIVE TYRES	EUR	240	NON MARKING DRIVE TYRES	 NONMARKINGDRIVETYRES																										
DRIVE WHEEL & TYRES	WHEELS	A860	320	A860320003		A860320003          	MC10,12,15	WET GRIP TOPTHANE TYRES	EUR	215	WET GRIP TOPTHANE TYRES	 WETGRIPTOPTHANETYRES																										
MASTS	MAST	A860	420	A860420001		A860420001          	MC10,12,15	2 STAGE HI-VI 2100 MM MAST	EUR	5315	2 STAGE HI-VI 2100 MM MAST	 2STAGEHIVI2100MMMAST	N	N																			2100 MM		2 Stages			
MASTS	MAST	A860	420	A860420002		A860420002          	MC10,12,15	2 STAGE HI-VI 2900 MM MAST	EUR	5510	2 STAGE HI-VI 2900 MM MAST	 2STAGEHIVI2900MMMAST	N	N																			2900 MM		2 Stages			
MASTS	MAST	A860	420	A860420003		A860420003          	MC10,12,15	2 STAGE HI-VI 3600 MM MAST	EUR	5950	2 STAGE HI-VI 3600 MM MAST	 2STAGEHIVI3600MMMAST	N	N																			3600 MM		2 Stages			
MASTS	MAST	A860	420	A860420004		A860420004          	MC10,12,15	2 STAGE FFL 2100 MM MAST	EUR	6570	2 STAGE FFL 2100 MM MAST	 2STAGEFFL2100MMMAST	N	N																		FFL	2100 MM		2 Stages			
MASTS	MAST	A860	420	A860420005		A860420005          	MC10,12,15	2 STAGE FFL 2900 MM MAST	EUR	6755	2 STAGE FFL 2900 MM MAST	 2STAGEFFL2900MMMAST	N	N																		FFL	2900 MM		2 Stages			
MASTS	MAST	A860	420	A860420006		A860420006          	MC10,12,15	2 STAGE FFL 3600 MM MAST	EUR	7195	2 STAGE FFL 3600 MM MAST	 2STAGEFFL3600MMMAST	N	N																		FFL	3600 MM		2 Stages			
MASTS	MAST	A860	420	A860420007		A860420007          	MC10,12,15	3 STAGE HI-VI 3800 MM MAST	EUR	8035	3 STAGE HI-VI 3800 MM MAST	 3STAGEHIVI3800MMMAST	N	N																			3800 MM		3 Stages			
MASTS	MAST	A860	420	A860420008		A860420008          	MC10,12,15	3 STAGE HI-VI 4350 MM MAST	EUR	8410	3 STAGE HI-VI 4350 MM MAST	 3STAGEHIVI4350MMMAST	N	N																			4350 MM		3 Stages			
MASTS	MAST	A860	420	A860420009		A860420009          	MC10,12,15	3 STAGE FFL 3800 MM MAST	EUR	9385	3 STAGE FFL 3800 MM MAST	 3STAGEFFL3800MMMAST	N	N																		FFL	3800 MM		3 Stages			
MASTS	MAST	A860	420	A860420010		A860420010          	MC10,12,15	3 STAGE FFL 4350 MM MAST	EUR	9760	3 STAGE FFL 4350 MM MAST	 3STAGEFFL4350MMMAST	N	N																		FFL	4350 MM		3 Stages			
MASTS	MAST	A860	420	A860420099		A860420099          	MC10,12,15	LESS MAST	EUR	0	LESS MAST	 LESSMAST	N	N																								
MASTS	MAST	A860	420	A860420101		A860420101          	MC10,12,15	2 STAGE HI-VI 2100 MM MAST SIDESHIFT	EUR	7320	2 STAGE HI-VI 2100 MM MAST SIDESHIFT	 2STAGEHIVI2100MMMASTSIDESHIFT	N	N																			2100 MM		2 Stages			
MASTS	MAST	A860	420	A860420102		A860420102          	MC10,12,15	2 STAGE HI-VI 2900 MM MAST SIDESHIFT	EUR	7515	2 STAGE HI-VI 2900 MM MAST SIDESHIFT	 2STAGEHIVI2900MMMASTSIDESHIFT	N	N																			2900 MM		2 Stages			
